Speed,q
1218,45.16
1215,45.83
1213,47.68
1216,49.58
1216,53.17
1216,55.18
1215,56.55
1215,57.65
1215,58.22
1214,59.05
1214,59.58
1214,59.88
1213,60.08
1213,60.26
1213,60.40
1213,60.40
1214,60.12
1214,59.29
1212,58.74
1213,57.96
1212,57.50
1211,56.96
1214,56.09
1214,55.48
1212,55.01
1210,54.41
1209,53.80
1214,52.85
1214,52.30
1210,51.98
1209,51.80
1211,51.64
1212,51.40
1210,51.36
1208,51.40
1210,51.54
1209,51.64
1209,51.76
1209,51.88
1210,51.82
1210,51.84
1208,51.94
1207,52.00
1209,51.96
1208,51.98
1206,52.08
1205,52.18
1207,52.14
1207,52.22
1207,52.30
1206,52.26
1205,52.32
1207,52.36
1206,52.40
1203,52.40
1203,52.46
1205,52.54
1206,52.54
1204,52.48
1203,52.48
1205,52.58
1205,52.64
1203,52.60
1204,52.58
1203,52.70
1203,52.66
1202,52.64
1202,52.68
1204,52.76
1202,52.82
1202,52.74
1203,52.74
1201,52.84
1200,52.90
1202,52.92
1202,52.88
1202,52.82
1199,51.97
1198,48.78
1201,45.04
1199,37.75
1198,33.80
1198,31.46
1198,28.61
1197,27.22
1196,26.34
1196,25.23
1195,24.79
1193,24.60
1194,24.82
1195,25.56
1194,26.72
1191,27.48
1190,28.70
1192,29.64
1193,30.44
1190,31.74
1189,32.59
1191,33.12
1191,34.19
1188,35.05
1189,35.70
1189,36.26
1188,37.07
1187,37.63
1187,38.12
1189,39.15
1186,40.32
1184,41.88
1188,43.46
1187,47.04
1182,49.62
1185,52.10
1189,54.24
1184,57.62
1181,59.59
1185,61.04
1187,62.00
1183,63.27
1181,63.97
1186,64.30
1187,64.64
1181,64.98
1182,65.20
1187,65.22
1186,65.30
1182,65.44
1185,65.48
1187,65.44
1184,65.48
1182,65.58
1185,65.58
1187,65.54
1182,65.58
1183,65.64
1188,65.58
1187,65.52
1181,65.58
1183,65.64
1187,65.56
1184,65.54
1180,65.66
1183,65.68
1188,65.60
1184,65.56
1182,65.64
1184,65.66
1185,65.64
1183,65.60
1182,65.64
1186,65.60
1187,65.56
1182,65.56
1182,65.58
1186,65.48
1184,65.38
1182,65.18
1184,64.92
1185,64.72
1183,64.56
1183,64.28
1184,64.00
1185,63.84
1183,63.34
1182,62.51
1185,61.38
1183,60.62
1181,59.21
1183,58.29
1184,57.52
1180,56.94
1181,56.05
1185,55.53
1184,55.14
1179,54.82
1180,54.29
1185,53.91
1183,53.64
1180,53.46
1182,53.28
1184,53.18
1181,53.14
1180,53.08
1183,52.94
1183,52.76
1181,52.64
1182,52.54
1184,52.42
1182,52.38
1181,52.32
1184,52.26
1183,52.20
1181,52.22
1181,52.22
1183,52.22
1182,52.20
1180,52.28
1181,52.26
1184,52.24
1181,52.26
1180,52.30
1183,52.28
1183,52.26
1180,52.28
1181,52.30
1184,52.24
1183,52.22
1181,52.24
1183,52.22
1186,52.18
1183,52.14
1180,52.18
1184,52.16
1186,52.16
1184,52.10
1184,52.08
1185,52.02
1184,52.00
1183,52.06
1185,52.04
1188,52.00
1187,51.96
1183,51.83
1183,50.73
1189,49.72
1188,49.10
1187,48.21
1185,47.82
1186,47.60
1190,47.28
1188,47.08
1189,46.90
1190,46.90
1189,46.78
1190,46.64
1190,46.64
1192,46.60
1191,46.54
1190,46.46
1191,46.46
1193,46.48
1192,46.40
1191,46.36
1194,46.34
1193,46.36
1191,46.32
1194,46.30
1194,46.30
1193,46.28
1195,46.24
1196,46.16
1195,46.12
1193,46.14
1196,46.08
1199,46.02
1196,45.98
1197,45.98
1199,45.92
1200,45.88
1200,45.82
1198,45.80
1200,45.04
1200,35.91
1198,25.82
1199,19.34
1194,11.12
1180,7.04
1187,3.04
1206,0.04
1194,0.00
1203,0.00
1197,0.00
1203,0.00
1195,0.00
1200,0.00
1199,0.00
1197,0.00
1198,0.00
1198,0.00
1197,0.00
1195,0.00
1198,0.00
1199,0.00
1196,0.00
1197,0.00
1198,0.00
1197,0.00
1196,0.00
1196,0.00
1198,0.00
1198,0.00
1197,0.00
1196,0.00
1196,0.00
1196,0.00
1197,0.00
1197,0.00
1198,0.00
1196,0.00
1196,0.00
1197,0.00
1199,0.00
1197,0.00
1193,0.00
1197,0.00
1200,0.00
1198,0.00
1196,0.00
1199,0.00
1199,0.00
1196,0.00
1196,0.00
1199,0.00
1198,0.00
1195,0.00
1197,0.00
1200,0.00
1198,0.00
1194,0.00
1197,0.00
1201,0.00
1199,0.00
1196,0.00
1197,0.00
1201,0.00
1199,0.00
1197,0.00
1200,0.00
1201,0.00
1198,0.00
1199,0.00
1201,0.00
1201,0.00
1198,0.00
1199,0.00
1202,0.00
1200,0.00
1198,0.00
1199,0.00
1201,0.00
1200,0.00
1200,0.00
1199,0.00
1201,0.00
1202,0.00
1199,0.00
1200,0.00
1200,0.00
1201,0.00
1201,0.00
1199,0.00
1199,0.00
1200,0.00
1199,0.00
1200,0.00
1202,0.00
1201,0.00
1200,0.00
1201,0.00
1201,0.00
1202,0.00
1199,0.00
1199,0.00
1201,0.00
1201,0.00
1200,0.00
1200,0.00
1200,0.00
1199,0.00
1197,0.00
1199,0.00
1201,0.00
1199,0.00
1197,0.00
1200,0.00
1202,0.00
1200,0.00
1199,0.00
1200,0.00
1201,0.00
1200,0.00
1199,0.00
1202,0.00
1201,0.00
1198,0.00
1200,0.00
1201,0.00
1200,0.00
1198,0.00
1200,0.00
1200,0.00
1198,0.00
1198,0.00
1200,0.00
1201,0.00
1200,0.00
1199,0.00
1200,0.00
1197,0.00
1197,0.00
1200,0.00
1200,0.00
1198,0.00
1197,0.00
1200,0.00
1200,0.00
1197,0.00
1196,0.00
1199,0.00
1198,0.00
1196,0.00
1196,0.00
1197,0.00
1198,0.00
1196,0.00
1195,0.00
1196,0.00
1196,0.00
1195,0.00
1194,0.00
1195,0.00
1196,0.00
1194,0.00
1194,0.00
1195,0.00
1194,0.00
1192,0.00
1193,0.00
1193,0.00
1192,0.00
1190,0.00
1191,0.00
1192,0.00
1190,0.00
1190,0.00
1190,0.00
1189,0.00
1188,0.00
1189,0.00
1190,0.00
1187,0.00
1185,0.00
1187,0.00
1188,0.00
1186,0.00
1184,0.00
1186,0.00
1187,0.00
1182,0.00
1181,0.00
1185,0.00
1185,0.00
1181,0.00
1180,0.00
1184,0.00
1182,0.00
1177,0.00
1178,0.00
1182,0.00
1179,0.00
1175,0.00
1177,0.00
1180,0.00
1176,0.00
1173,0.00
1175,0.00
1176,0.00
1174,0.00
1172,0.00
1172,0.00
1171,0.00
1171,0.00
1171,0.00
1169,0.00
1168,0.00
1169,0.00
1170,0.00
1165,0.00
1164,0.00
1168,0.00
1165,0.00
1164,0.00
1166,0.00
1165,0.00
1163,0.00
1158,0.00
1163,0.00
1164,0.00
1156,0.00
1158,0.00
1163,0.00
1159,0.00
1154,0.00
1156,0.00
1158,0.00
1155,0.00
1152,0.00
1155,0.00
1156,0.00
1152,0.00
1150,0.00
1150,0.00
1149,0.00
1149,0.00
1149,0.00
1147,0.20
1147,1.82
1148,7.52
1149,13.20
1158,19.82
1153,28.78
1140,35.92
1148,41.94
1138,47.24
1152,52.49
1143,57.79
1143,62.28
1150,66.12
1141,68.76
1146,71.00
1149,72.74
1145,74.62
1146,75.58
1147,76.33
1148,76.89
1150,77.43
1150,78.28
1152,79.46
1150,80.34
1147,81.24
1150,81.80
1150,82.39
1149,82.72
1150,82.92
1153,83.02
1152,83.16
1152,83.38
1156,83.38
1154,83.50
1152,83.66
1154,83.72
1156,83.68
1155,83.72
1155,83.74
1156,83.72
1157,83.72
1154,83.80
1156,83.78
1159,83.68
1158,83.69
1157,83.72
1160,83.68
1162,83.60
1160,83.62
1160,83.62
1164,83.56
1162,83.53
1160,83.58
1164,83.50
1165,83.46
1162,83.50
1163,83.50
1165,83.46
1166,83.40
1164,83.44
1166,83.41
1168,83.34
1166,83.38
1167,83.36
1168,83.30
1169,83.32
1169,83.30
1171,83.34
1170,83.34
1169,83.42
1171,83.48
1173,83.48
1172,83.42
1170,83.50
1173,83.46
1176,83.40
1173,83.44
1171,83.58
1175,83.58
1176,83.54
1175,83.62
1178,83.70
1176,83.82
1177,83.88
1177,83.94
1178,84.00
1180,83.96
1178,84.00
1178,84.04
1181,84.04
1182,84.02
1182,84.00
1179,84.14
1181,84.20
1183,84.20
1181,84.30
1182,84.32
1182,84.36
1184,84.36
1184,84.36
1184,84.36
1185,84.36
1185,84.34
1184,84.36
1186,84.34
1187,84.30
1185,84.32
1187,84.28
1188,84.26
1189,84.24
1189,84.24
1187,84.24
1188,84.24
1189,84.22
1190,84.20
1190,84.18
1190,84.18
1191,84.16
1192,84.12
1192,84.10
1191,84.12
1192,84.14
1193,84.08
1194,84.04
1194,84.04
1192,84.04
1193,84.04
1196,84.00
1195,84.00
1193,84.02
1194,84.02
1195,84.00
1196,83.96
1195,83.96
1196,83.94
1197,83.84
1197,83.74
1196,83.68
1197,83.51
1197,83.10
1197,82.82
1197,82.05
1198,80.74
1199,79.26
1197,76.33
1196,73.76
1198,71.18
1200,67.45
1197,64.59
1195,62.04
1197,57.91
1199,55.28
1198,53.50
1196,51.24
1197,49.83
1197,48.74
