Speed,q,p
1229,45.32,958461.4196
1231,45.42,960071.7871
1228,45.48,958549.2419
1226,45.54,956247.3756
1230,45.6,958118.8504
1229,45.6,957386.372
1226,45.6,955812.9275
1229,45.62,958825.4069
1228,45.58,955358.6018
1227,45.32,949349.0968
1225,44.95,944748.9418
1223,44.56,941656.4402
1228,44.12,943985.3244
1227,43.78,947595.6681
1223,43.66,945081.4681
1223,43.64,944375.1586
1226,43.56,945543.6633
1223,43.54,944867.1351
1223,43.54,943128.2566
1223,43.58,943717.5635
1223,43.58,944713.232
1222,43.6,944343.7097
1223,43.66,944240.9277
1220,43.66,942379.3922
1220,43.62,941276.2751
1220,43.62,943415.0044
1220,43.66,943513.1329
1219,43.68,942211.2295
1218,43.68,941230.5491
1220,43.72,943650.4804
1220,43.8,944662.4591
1216,43.86,941128.3097
1217,43.86,942360.9671
1217,43.94,943795.2439
1217,43.96,944941.3285
1217,44.22,950702.1107
1216,44.73,952746.9962
1218,45.16,957735.4407
1215,45.83,970454.5372
1214,47.68,995135.4044
1217,49.58,1016905.479
1217,53.17,1020745.963
1216,55.18,1022871.598
1215,56.55,1022068.17
1215,57.65,1021762.566
1216,58.22,1024702.382
1214,59.05,1026173.026
1214,59.58,1026698.953
1214,59.88,1025010.979
1214,60.08,1024173.757
1213,60.26,1024984.883
1213,60.4,1023668.344
1213,60.4,1018777.595
1214,60.12,1011565.265
1214,59.29,1007420.879
1212,58.74,1004025.963
1214,57.96,1002139.997
1212,57.5,997661.1074
1211,56.96,992758.8799
1214,56.09,992969.7769
1214,55.48,991626.5092
1212,55.01,987588.5151
1210,54.41,980050.9825
1209,53.8,975912.7909
1214,52.85,976117.064
1214,52.3,976826.8348
1211,51.98,975656.394
1210,51.8,974825.6457
1211,51.64,974517.7986
1212,51.4,976158.7678
1210,51.36,976513.3797
1208,51.4,976286.9774
1211,51.54,977158.5545
1210,51.64,977871.619
1209,51.76,978286.8043
1209,51.88,977652.1268
1210,51.82,976747.3986
1211,51.84,979086.5663
1208,51.94,978669.1749
1208,52,976713.2096
1209,51.96,977059.3678
1208,51.98,978600
1207,52.08,977668.5091
1205,52.18,975498.4968
1207,52.14,976319.6363
1207,52.22,979042.0907
1207,52.3,977899.3997
1206,52.26,976498.4521
1205,52.32,976959.4858
1207,52.36,979400
1206,52.4,977896.6101
1204,52.4,975414.6144
1203,52.46,977015.0144
1205,52.54,979128.4116
1205,52.54,977855.7894
1204,52.48,975514.2578
1203,52.48,976788.8603
1205,52.58,980143.0078
1205,52.64,978042.4506
1203,52.6,973728.4483
1204,52.58,975745.9525
1203,52.7,978455.5631
1203,52.66,976114.1623
1202,52.64,975671.4109
1202,52.68,977158.8703
1204,52.76,978742.2594
1202,52.82,976058.0806
1202,52.74,975429.4516
1202,52.74,977928.5614
1201,52.84,977228.7476
1200,52.9,976200
1202,52.92,976485.5806
1202,52.88,976714.5375
1202,52.82,970553.5916
1199,51.97,943619.5321
1199,48.78,887357.0876
1201,45.04,834468.7549
1199,37.75,822229.4021
1199,33.8,818972.2352
1199,31.46,818771.4595
1199,28.61,819942.6946
1197,27.22,818987.3234
1196,26.34,817014.2295
1196,25.23,817970.7213
1195,24.79,819713.0949
1193,24.6,824715.3725
1194,24.82,832828.2891
1196,25.56,839821.8556
1194,26.72,847728.7266
1191,27.48,849884.7903
1190,28.7,855925.1712
1193,29.64,862678.2507
1193,30.44,870955.8123
1190,31.74,874700.7439
1189,32.59,874797.7531
1191,33.12,881239.5651
1190,34.19,889600
1188,35.05,890170.5122
1190,35.7,893407.9078
1189,36.26,898113.1277
