,Epm_nEng,InjCtl_qSetUnBal
2017-12-01 10:36:33.722091,1017.6821311950094,0.0
2017-12-01 10:36:33.822091,979.3064771135955,0.0
2017-12-01 10:36:33.922091,944.0219249517712,0.0
2017-12-01 10:36:34.022091,909.1136181331736,0.0
2017-12-01 10:36:34.122091,873.7139530455269,2.1731438264221996
2017-12-01 10:36:34.222091,866.5949286721385,15.091385485674623
2017-12-01 10:36:34.322091,888.7952535831568,15.502931598686441
2017-12-01 10:36:34.422091,934.1075315565975,5.73172913430677
2017-12-01 10:36:34.522091,1082.9827085841162,9.22418402177586
2017-12-01 10:36:34.622091,1313.008524507473,13.78449321572851
2017-12-01 10:36:34.722091,1271.0081469333318,15.367204517308771
2017-12-01 10:36:34.822091,1219.2644075098806,21.206746070941062
2017-12-01 10:36:34.922091,1302.4529750379224,29.285720285347743
2017-12-01 10:36:35.022091,1300.3856005520379,35.044922847420516
2017-12-01 10:36:35.122091,1252.4419626442732,40.44603588499559
2017-12-01 10:36:35.222091,1304.1397301915654,45.291930682899434
2017-12-01 10:36:35.322091,1242.648927782,48.92199597964535
2017-12-01 10:36:35.422091,1279.355002294148,51.70174934412763
2017-12-01 10:36:35.522091,1263.2156481345805,52.92974413179937
2017-12-01 10:36:35.622091,1271.90932117945,53.829915213763414
2017-12-01 10:36:35.722091,1273.065911099934,53.57809125732192
2017-12-01 10:36:35.822091,1275.7459118547229,53.54491823709446
2017-12-01 10:36:35.922091,1272.4463935636345,53.20328263359985
2017-12-01 10:36:36.022091,1277.9923345497689,53.16869250912327
2017-12-01 10:36:36.122091,1277.0644534395353,53.196236977069766
2017-12-01 10:36:36.222091,1281.7750845197947,53.71939293733363
2017-12-01 10:36:36.322091,1275.2946370853156,54.359098133199794
2017-12-01 10:36:36.422091,1287.296420932935,55.64863800843684
2017-12-01 10:36:36.522091,1277.9168772547068,57.8521182021805
2017-12-01 10:36:36.622091,1292.457670722138,59.436778558650836
2017-12-01 10:36:36.722091,1278.6325486274282,60.44718433012574
2017-12-01 10:36:36.822091,1295.6093664454613,61.31823289011911
2017-12-01 10:36:36.922091,1282.2262617598253,61.69116319744202
2017-12-01 10:36:37.022091,1295.8510111396706,61.837369151670934
2017-12-01 10:36:37.122091,1288.6343169889878,61.77881654992134
2017-12-01 10:36:37.222091,1294.9340098274797,61.71126903730466
2017-12-01 10:36:37.322091,1294.159404179833,61.40782442992569
2017-12-01 10:36:37.422091,1296.3416803849377,60.901569312038184
2017-12-01 10:36:37.522091,1299.0308324457724,59.87394040472782
2017-12-01 10:36:37.622091,1297.8766605257335,58.83209686812416
2017-12-01 10:36:37.722091,1303.1845964934278,57.81167308238626
2017-12-01 10:36:37.822091,1301.6561968978833,56.70998300732269
2017-12-01 10:36:37.922091,1303.8407785624108,56.0617084503709
2017-12-01 10:36:38.022091,1306.9364487948599,55.52143921692523
2017-12-01 10:36:38.122091,1303.4363112111077,55.07865014173304
2017-12-01 10:36:38.222091,1310.2112948025078,54.75648542728923
2017-12-01 10:36:38.322091,1304.6887106506433,54.18008609071242
2017-12-01 10:36:38.422091,1314.7832927654554,52.48347669207013
2017-12-01 10:36:38.522091,1304.9108799669086,50.999162216408635
2017-12-01 10:36:38.622091,1313.372988436174,49.066545987248674
2017-12-01 10:36:38.722091,1309.903034505985,47.802036968861856
2017-12-01 10:36:38.822091,1315.816397160859,47.01468822713128
2017-12-01 10:36:38.922091,1313.4356678610206,45.920817615200875
2017-12-01 10:36:39.022091,1313.3122156803122,44.18927883461931
2017-12-01 10:36:39.122091,1317.9693660459175,40.6708131674403
2017-12-01 10:36:39.222091,1313.310892335142,37.72937530736945
2017-12-01 10:36:39.322091,1322.5718073115945,35.39839627861757
2017-12-01 10:36:39.422091,1311.1778426753879,31.5000686265094
2017-12-01 10:36:39.522091,1323.4331177598226,29.010479739977324
2017-12-01 10:36:39.622091,1313.178980162724,26.636277152767434
2017-12-01 10:36:39.722091,1318.5387795227082,23.561440946369512
2017-12-01 10:36:39.822091,1313.588258832079,21.26865627890875
2017-12-01 10:36:39.922091,1311.5933498868574,18.06598121705258
2017-12-01 10:36:40.022091,1320.0392126021466,16.053725983656552
2017-12-01 10:36:40.122091,1316.712883237034,14.324679512682966
2017-12-01 10:36:40.222091,1308.1791120317412,12.958807044514309
2017-12-01 10:36:40.322091,1302.4372358359121,12.411229923529318
2017-12-01 10:36:40.422091,1300.2802177198166,12.323736236264223
2017-12-01 10:36:40.522091,1313.830931718008,12.254913262503491
2017-12-01 10:36:40.622091,1321.8749128925197,11.67126016253937
2017-12-01 10:36:40.722091,1318.1220869493268,10.336781447500586
2017-12-01 10:36:40.822091,1309.2713331322732,9.669498937209589
2017-12-01 10:36:40.922091,1301.803780360112,9.596274913256822
2017-12-01 10:36:41.022091,1318.39583363555,9.648806819006046
2017-12-01 10:36:41.122091,1317.214814088846,9.220923016611827
2017-12-01 10:36:41.222091,1307.8645824859202,8.875937474577608
2017-12-01 10:36:41.322091,1305.5930941194722,8.852552470442228
2017-12-01 10:36:41.422091,1315.2577940199553,8.794948039866965
2017-12-01 10:36:41.522091,1308.5499450215632,8.51963476426366
2017-12-01 10:36:41.622091,1307.3138165105106,8.541381651051053
2017-12-01 10:36:41.722091,1309.1283150852544,8.397168491474561
2017-12-01 10:36:41.822091,1309.0930450833257,7.692593936654205
2017-12-01 10:36:41.922091,1304.52268738218,6.30263360380251
2017-12-01 10:36:42.022091,1307.1641486484475,4.0820724925988925
2017-12-01 10:36:42.122091,1303.1141602537414,2.727976580698388
2017-12-01 10:36:42.222091,1307.2849422041795,1.9996364598961742
2017-12-01 10:36:42.322091,1300.7660263434898,1.4892308047236933
2017-12-01 10:36:42.422091,1304.6996401014137,1.0417369079111436
2017-12-01 10:36:42.522091,1300.7102060230277,0.3577773010831503
2017-12-01 10:36:42.622091,1302.3507011786223,0.040813068772317135
2017-12-01 10:36:42.722091,1300.9636548882966,0.0
2017-12-01 10:36:42.822091,1298.058490770856,0.0
2017-12-01 10:36:42.922091,1301.9807706833644,0.0
2017-12-01 10:36:43.022091,1293.2244394801985,0.0
2017-12-01 10:36:43.122091,1299.5484209980893,0.0
2017-12-01 10:36:43.222091,1289.6871102303435,0.0
2017-12-01 10:36:43.322091,1298.8152726781818,0.0
2017-12-01 10:36:43.422091,1291.7226590611708,0.0
2017-12-01 10:36:43.522091,1296.835951486177,0.0
2017-12-01 10:36:43.622091,1287.0886649578526,0.0
2017-12-01 10:36:43.722091,1291.427874544333,0.0
2017-12-01 10:36:43.822091,1290.5567418929686,0.0
2017-12-01 10:36:43.922091,1285.1134405977227,0.0
2017-12-01 10:36:44.022091,1290.1120069441954,0.0
2017-12-01 10:36:44.122091,1281.724851009785,0.09775148990214988
2017-12-01 10:36:44.222091,1286.4260670214958,0.18518651314349074
2017-12-01 10:36:44.322091,1280.2588856062637,0.2814854146709091
2017-12-01 10:36:44.422091,1281.7595431335255,0.511870303679154
2017-12-01 10:36:44.522091,1282.907233618666,1.097548376639117
2017-12-01 10:36:44.622091,1280.5550480583486,2.7847692426568744
2017-12-01 10:36:44.722091,1285.7068562745442,6.140175870046027
2017-12-01 10:36:44.822091,1280.4843725405578,10.077813729721052
2017-12-01 10:36:44.922091,1287.9652449706994,13.917084626241635
2017-12-01 10:36:45.022091,1304.6759147088485,18.093299814427475
2017-12-01 10:36:45.122091,1309.2220287365678,21.617344369912146
2017-12-01 10:36:45.222091,1268.7499796917216,24.554601153510212
2017-12-01 10:36:45.322091,1292.9408994048813,27.75527195239051
2017-12-01 10:36:45.422091,1286.2263113735883,30.040217061166196
2017-12-01 10:36:45.522091,1287.073890974772,33.695408343716615
2017-12-01 10:36:45.622091,1291.2619531326393,37.196350397080295
2017-12-01 10:36:45.722091,1278.5430494890782,40.44614428152535
2017-12-01 10:36:45.822091,1288.951984059582,42.964041356400806
2017-12-01 10:36:45.922091,1280.9873590003206,44.803092038477665
2017-12-01 10:36:46.022091,1290.3279639700438,46.359896912721844
2017-12-01 10:36:46.122091,1284.842605662193,47.3252211243758
2017-12-01 10:36:46.222091,1285.0375317479466,48.06680914340863
2017-12-01 10:36:46.322091,1288.7630473632037,48.624196157216474
2017-12-01 10:36:46.422091,1288.6843216051245,49.01364422215518
2017-12-01 10:36:46.522091,1296.2457949175325,49.2267624300164
2017-12-01 10:36:46.622091,1287.807349295726,49.32523296450736
2017-12-01 10:36:46.722091,1298.1424097629745,49.51944065470028
2017-12-01 10:36:46.822091,1295.2867601291568,49.527352915023755
2017-12-01 10:36:46.922091,1294.8162831000625,49.552651324002504
2017-12-01 10:36:47.022091,1294.1841717395735,49.445784043540286
2017-12-01 10:36:47.122091,1296.4490496882097,49.42
2017-12-01 10:36:47.222091,1305.977586951009,49.322062687807176
2017-12-01 10:36:47.322091,1297.3905435681663,49.18574431534949
2017-12-01 10:36:47.422091,1305.6158111510636,49.14366798284452
2017-12-01 10:36:47.522091,1301.0614066339183,49.074695591848645
2017-12-01 10:36:47.622091,1309.294435396704,48.99470376402198
2017-12-01 10:36:47.722091,1302.5172505703015,48.882006369857834
2017-12-01 10:36:47.822091,1308.6643371190003,48.876328674238
2017-12-01 10:36:47.922091,1308.8675555206146,48.76572888644302
2017-12-01 10:36:48.022091,1307.6841819260735,48.788949084435586
2017-12-01 10:36:48.122091,1309.9499619814135,48.81633307987609
2017-12-01 10:36:48.222091,1306.8260530532978,48.99961518406099
2017-12-01 10:36:48.322091,1314.5708131714043,49.317531093169286
2017-12-01 10:36:48.422091,1307.9248383326576,49.73934010796482
2017-12-01 10:36:48.522091,1314.9861450200192,50.13043046432794
2017-12-01 10:36:48.622091,1310.8728656741507,50.657492696330074
2017-12-01 10:36:48.722091,1317.669472596607,52.26318295777567
2017-12-01 10:36:48.822091,1311.7505076693512,53.39942131410903
2017-12-01 10:36:48.922091,1312.4508875062531,54.31526625187591
2017-12-01 10:36:49.022091,1317.9032324284601,55.00301145903574
2017-12-01 10:36:49.122091,1316.1427796482546,55.38123157501672
2017-12-01 10:36:49.222091,1322.852842414279,55.75045334638067
2017-12-01 10:36:49.322091,1316.7357836191097,55.9671114682695
2017-12-01 10:36:49.422091,1326.8484975901454,56.11439928707727
2017-12-01 10:36:49.522091,1321.7327783925314,56.14
2017-12-01 10:36:49.622091,1328.9920376779048,56.205396637657486
2017-12-01 10:36:49.722091,1324.4613438639515,56.18730671931976
2017-12-01 10:36:49.822091,1329.9429290537312,56.212672607311674
2017-12-01 10:36:49.922091,1329.0477191759455,56.138257305864855
2017-12-01 10:36:50.022091,1327.273744459442,56.15270014774821
2017-12-01 10:36:50.122091,1334.3607176808007,56.09457139839288
2017-12-01 10:36:50.222091,1329.0506642595492,56.08
2017-12-01 10:36:50.322091,1340.1759181729064,56.04728795310218
2017-12-01 10:36:50.422091,1330.7319852517903,55.990927941007165
2017-12-01 10:36:50.522091,1342.3020206975448,55.94730966697704
2017-12-01 10:36:50.622091,1335.6916353115344,55.841916353115344
2017-12-01 10:36:50.722091,1342.8959382964908,55.82
2017-12-01 10:36:50.822091,1341.7294880794236,55.72188464238271
2017-12-01 10:36:50.922091,1345.9040985620366,55.683653004793214
2017-12-01 10:36:51.022091,1346.182111864481,55.532780135606565
2017-12-01 10:36:51.122091,1343.5476152798792,55.5
2017-12-01 10:36:51.222091,1348.3150434925524,55.43458408009167
2017-12-01 10:36:51.322091,1347.864659679607,55.40364659679607
2017-12-01 10:36:51.422091,1355.2703173645382,55.26913149701831
2017-12-01 10:36:51.522091,1347.5979410447517,55.19094577936392
2017-12-01 10:36:51.622091,1356.13565367708,55.08182473528849
2017-12-01 10:36:51.722091,1347.870804879372,54.96188435273266
2017-12-01 10:36:51.822091,1361.0408904366375,54.825488175730044
2017-12-01 10:36:51.922091,1353.4596754420788,54.669151708943154
2017-12-01 10:36:52.022091,1360.4085765965826,54.590911774278695
2017-12-01 10:36:52.122091,1356.775838467817,54.48187151659115
2017-12-01 10:36:52.222091,1362.4550307101913,54.42727044371675
2017-12-01 10:36:52.322091,1361.5438811003455,54.32175524401382
2017-12-01 10:36:52.422091,1360.1814940476293,54.18540916666809
2017-12-01 10:36:52.522091,1365.732529760322,54.028970748335496
2017-12-01 10:36:52.622091,1362.906452953765,53.8362581181506
2017-12-01 10:36:52.722091,1370.5958112366977,53.55440539323721
2017-12-01 10:36:52.822091,1362.264344476129,53.22159016975071
2017-12-01 10:36:52.922091,1373.509170299197,52.619633188032125
2017-12-01 10:36:53.022091,1365.0479537837505,52.17279867953573
2017-12-01 10:36:53.122091,1376.0126729135504,51.39570310874828
2017-12-01 10:36:53.222091,1365.8985801052268,50.6504361047352
2017-12-01 10:36:53.322091,1378.9715219870334,49.586280253065745
2017-12-01 10:36:53.422091,1366.9349612638666,48.6754771940487
2017-12-01 10:36:53.522091,1381.9321439749299,47.63525708920336
2017-12-01 10:36:53.622091,1371.2579795098256,46.358918497387215
2017-12-01 10:36:53.722091,1381.50640010749,45.56337260163071
2017-12-01 10:36:53.822091,1375.0810621510843,44.62096192618124
2017-12-01 10:36:53.922091,1379.964861357019,44.06307809126721
2017-12-01 10:36:54.022091,1381.0902367540027,42.7179292023285
