,Epm_nEng,InjCtl_qSetUnBal,Rail_pSetPoint
2017-12-01 10:24:31.422091,1404.4579379709849,34.83975964554849,822187.9822774242
2017-12-01 10:24:31.522091,1402.8084771279166,34.88,821915.3711307667
2017-12-01 10:24:31.622091,1402.1960775701118,34.92967319739462,822083.6598697308
2017-12-01 10:24:31.722091,1402.5428093418666,34.950160535032005,821914.44815288
2017-12-01 10:24:31.822091,1399.7237871094108,34.99960056547673,821886.5190848398
2017-12-01 10:24:31.922091,1399.7747400799205,35.04018849584701,822211.3097508207
2017-12-01 10:24:32.022091,1399.9734190774564,35.00995167104992,822188.4010519809
2017-12-01 10:24:32.122091,1399.2848206550173,34.940445704384224,819031.1993068955
2017-12-01 10:24:32.222091,1395.984787219031,34.69086205758825,815190.8723314186
2017-12-01 10:24:32.322091,1398.7511333724276,34.390589353662335,814013.6004691309
2017-12-01 10:24:32.422091,1398.9973122069741,34.021290140652376,812491.9366209226
2017-12-01 10:24:32.522091,1397.5103814391691,33.47160912307123,807832.1824614246
2017-12-01 10:24:32.622091,1395.251117636934,32.81156469170751,799409.8352050186
2017-12-01 10:24:32.722091,1395.9957005269976,31.85262267853148,793515.9080501089
2017-12-01 10:24:32.822091,1394.7594325379187,30.672389576272707,786513.8343889472
2017-12-01 10:24:32.922091,1395.4863518541817,29.791410308401215,777924.1117242788
2017-12-01 10:24:33.022091,1394.5178242144407,28.633787645568646,768916.4873983576
2017-12-01 10:24:33.122091,1391.7445857105936,27.122858744806642,764503.0320020677
2017-12-01 10:24:33.222091,1388.7729988586636,26.05221871342402,763203.2468976937
2017-12-01 10:24:33.322091,1390.4702339973067,25.31163713014814,763495.535099596
2017-12-01 10:24:33.422091,1390.771551215239,24.70104945048121,763005.2472524061
2017-12-01 10:24:33.522091,1390.2246860677778,24.27072325520635,762794.2139583492
2017-12-01 10:24:33.622091,1388.5325879172383,23.960744866679732,761710.7074585211
2017-12-01 10:24:33.722091,1385.734370925276,23.79003677429347,761791.1741695676
2017-12-01 10:24:33.822091,1387.2606483023358,23.71027104769582,762307.3570088865
2017-12-01 10:24:33.922091,1386.990200298679,23.610117596415854,762093.3362031017
2017-12-01 10:24:34.022091,1384.771475187069,23.54018084368058,761510.3985116334
2017-12-01 10:24:34.122091,1381.493602177612,23.52987204355224,761490.1900056717
2017-12-01 10:24:34.222091,1384.7444064732892,23.56,762105.4337116618
2017-12-01 10:24:34.322091,1383.262543779747,23.5201543849815,758905.7894368063
2017-12-01 10:24:34.422091,1381.2451496314889,23.37042683242898,757001.5521179235
2017-12-01 10:24:34.522091,1378.7635835375204,23.14043467320065,754607.2445533442
2017-12-01 10:24:34.622091,1381.2274949094365,22.820720162898034,750507.5617104294
2017-12-01 10:24:34.722091,1379.5241258156561,22.370753931739255,746605.4283085227
2017-12-01 10:24:34.822091,1376.9808127604347,21.99045351657155,744202.0931534071
2017-12-01 10:24:34.922091,1376.5204552480682,21.58095457824318,741806.1365744204
2017-12-01 10:24:35.022091,1376.9764122879833,21.210326599089463,742291.6535788248
2017-12-01 10:24:35.122091,1376.2730747519943,20.920636544882605,739117.5049842716
2017-12-01 10:24:35.222091,1371.9934209871708,20.67010965021382,736892.7630858879
2017-12-01 10:24:35.322091,1375.0,20.45043688139148,737806.1677372914
2017-12-01 10:24:35.422091,1374.002505469771,20.1802505469771,736995.9912483664
2017-12-01 10:24:35.522091,1372.0030794480879,20.00024635584703,737004.9271169406
2017-12-01 10:24:35.622091,1367.5109501565541,19.92,736396.8713838417
2017-12-01 10:24:35.722091,1371.2270831620674,19.93993678113674,736303.4770374794
2017-12-01 10:24:35.822091,1370.273520677208,19.800456158588275,734402.2807929413
2017-12-01 10:24:35.922091,1365.7429707545562,19.630018744654517,734099.0627672741
2017-12-01 10:24:36.022091,1365.7553271158567,19.530127850780566,732403.1252413027
2017-12-01 10:24:36.122091,1365.2462114648442,19.400046628124993,730399.766859375
2017-12-01 10:24:36.222091,1366.7543722874607,19.17047470549572,728106.2461249437
2017-12-01 10:24:36.322091,1362.7555359689918,18.91017223014641,727196.0633109392
2017-12-01 10:24:36.422091,1362.2463928297952,18.83002061240117,728600.4122480234
2017-12-01 10:24:36.522091,1364.498984659895,18.7701015340105,728499.796931979
2017-12-01 10:24:36.622091,1363.502779806731,18.670092660224363,727901.2972431411
2017-12-01 10:24:36.722091,1359.5044295162384,18.64994684580514,727898.7597354533
2017-12-01 10:24:36.822091,1358.7480121709368,18.71995456390713,728400.2271804643
2017-12-01 10:24:36.922091,1359.0012812949071,18.769991458033953,728499.7437410186
