Speed,q,p
675,13.10,437117
675,13.22,437444
676,13.38,438283
675,12.72,436260
675,13.36,437790
675,13.43,437968
675,13.69,438935
674,13.39,437703
674,13.60,438261
675,13.49,438275
675,13.81,439236
674,13.35,437616
675,13.69,438812
676,13.46,438500
675,13.63,438768
675,13.10,437125
675,13.22,437711
675,13.10,437403
675,13.80,439090
675,13.20,437512
675,13.02,437204
675,13.07,437333
675,13.47,438359
674,13.11,436992
675,13.48,438241
675,13.39,438018
675,13.81,439102
675,13.45,438012
675,13.62,438623
675,12.99,437132
675,13.53,438381
675,13.20,437514
675,13.13,437327
675,13.42,437940
675,14.03,439689
675,13.05,437266
675,13.35,437759
675,13.71,438693
675,13.95,439454
674,13.54,437964
674,13.60,438260
675,13.52,438215
675,13.70,438652
674,13.54,437967
675,13.58,438354
675,13.47,438208
675,13.68,438608
675,13.52,438203
675,13.52,438207
675,13.52,438363
675,13.68,438752
675,13.52,438201
675,13.44,438130
675,13.31,437642
674,13.58,438056
673,13.58,437907
673,13.58,437762
673,13.59,437787
674,13.75,438652
673,13.50,437703
673,13.58,437770
674,13.58,438073
674,13.70,438506
674,13.54,437957
674,13.56,438007
674,13.54,437972
674,13.69,438502
674,13.48,437805
674,13.56,438007
674,13.54,437972
674,13.70,438526
674,13.80,438640
675,13.68,438774
676,12.91,437212
675,13.34,438031
674,13.50,438016
675,13.63,438501
676,13.30,438062
674,13.99,439286
675,13.63,438634
675,13.24,437637
675,13.37,438105
676,13.56,438741
675,12.88,436684
675,13.54,438267
675,13.70,438661
675,13.56,438289
673,13.51,437704
672,13.70,437784
672,13.78,437996
672,13.88,438243
673,13.72,437986
673,13.74,438173
674,13.59,437930
674,13.76,438509
673,13.60,437824
674,13.56,438150
674,13.53,437922
674,13.70,438496
673,13.55,437668
673,13.74,438030
673,13.72,437986
672,13.86,438186
672,13.82,437807
673,13.78,438142
672,13.94,438424
674,15.08,442234
676,13.82,439422
675,13.33,437715
674,14.44,440453
675,14.25,440398
675,13.46,438044
675,14.07,439643
675,14.42,440684
675,13.71,438838
674,14.06,439467
675,14.62,441221
676,13.92,439822
675,13.41,437906
675,14.21,440010
675,13.92,439546
675,14.06,439766
675,14.17,440038
675,13.76,439111
675,13.68,438771
675,14.39,440490
676,14.15,440281
675,13.35,437889
674,14.14,439676
675,14.62,441365
675,13.48,438387
674,13.63,438210
675,14.58,441129
676,14.04,440140
675,13.49,438407
674,13.80,438800
676,14.35,440811
676,13.53,438671
675,13.39,437862
674,14.31,440135
677,13.85,439932
675,13.09,437221
674,13.95,439195
675,14.34,440497
675,13.28,437858
674,13.89,438900
675,14.29,440492
675,13.37,437956
675,13.56,438586
675,14.06,439610
675,14.01,439611
675,13.61,438457
675,14.01,439763
675,13.61,438717
675,13.82,438995
675,13.90,439338
676,13.75,439239
675,13.57,438345
675,13.99,439433
675,13.65,438828
675,13.32,437837
675,14.02,439499
675,13.96,439353
675,13.89,439456
676,13.49,438564
675,13.74,439069
675,13.17,437559
674,13.90,438914
676,13.76,439400
675,13.71,438836
675,13.39,437864
675,14.21,439999
675,13.27,437842
675,14.14,439824
676,13.48,438524
675,13.43,437984
676,13.72,439146
675,13.58,438512
675,13.09,437234
674,14.03,439394
676,13.10,437550
675,13.75,438802
675,13.37,438085
674,13.55,438145
675,13.82,439274
675,13.80,439096
675,13.38,438110
674,13.80,438810
675,13.38,438115
675,13.80,438953
675,13.37,438085
674,13.62,438177
675,14.20,439994
675,14.03,439726
667,5.85,414790
643,6.17,404175
629,10.90,412213
624,10.90,409874
612,8.66,397756
602,9.87,397151
595,12.45,402911
589,11.09,396164
584,10.37,391652
576,11.33,391825
571,12.15,392592
571,10.64,387260
564,9.55,381082
558,12.16,387371
557,13.25,390770
556,10.22,380120
551,9.78,376703
546,13.08,385841
546,12.53,384235
546,10.60,377452
542,10.68,376124
540,12.23,380727
540,12.41,381448
538,11.00,375766
536,11.62,377135
534,12.08,378027
535,12.59,380057
534,11.85,377173
531,11.53,374954
531,12.84,379460
531,11.83,375977
531,12.08,376676
530,12.56,377904
529,12.63,377871
529,12.99,379094
529,12.26,376440
528,12.33,376510
528,12.46,376835
528,12.53,376937
528,12.81,378027
527,12.06,375168
527,12.67,377098
527,12.83,377537
528,12.59,377100
526,12.70,377073
526,12.25,375367
525,12.99,377658
527,12.28,375634
527,12.27,375734
526,12.08,374773
525,13.12,377940
525,13.17,378234
525,12.82,376912
527,12.72,377128
526,12.10,374997
526,12.13,374783
524,13.31,378578
524,13.51,379275
526,13.71,380244
526,11.80,373834
525,12.44,375727
525,12.86,377185
526,12.80,377111
526,12.18,374970
524,12.27,375003
525,13.48,379196
526,13.05,377991
526,12.30,375523
525,12.77,376721
524,12.98,377444
525,13.39,378873
525,12.25,374947
525,13.06,377737
525,13.10,378032
526,12.21,375080
525,11.90,373851
524,12.41,375500
525,13.22,378301
526,12.80,377108
526,12.19,374996
524,12.89,377155
524,13.24,378346
525,13.20,378215
525,12.23,375004
525,12.44,375582
525,12.87,377073
525,13.09,377962
525,12.25,375056
524,12.47,375711
525,13.30,378579
526,12.85,377435
526,12.07,374747
525,12.88,377091
524,12.79,376793
525,13.45,379067
525,12.24,375064
525,12.81,376993
525,12.53,375920
525,13.36,378759
525,12.86,377189
525,12.48,375739
525,12.58,376080
525,13.56,379458
527,12.91,377920
526,12.17,374908
524,12.35,375298
524,13.64,379706
526,12.52,376310
526,11.64,373124
524,12.28,375050
524,13.72,380005
526,12.79,377081
525,12.15,374606
524,12.96,377366
525,13.29,378689
526,12.61,376741
525,12.43,375543
524,13.51,379284
526,13.75,380385
526,12.03,374468
525,11.90,373746
524,12.94,377330
526,13.04,377932
526,12.43,375822
525,12.13,374534
524,12.89,377158
524,13.24,378340
526,13.15,378465
526,11.95,374315
524,12.72,376542
525,13.51,379294
525,12.42,375657
525,11.88,373794
525,12.34,375241
524,13.23,378299
526,13.78,380424
530,12.19,376647
530,7.46,360395
522,10.33,368331
525,13.66,379886
530,10.02,369121
525,7.93,360087
522,11.09,370948
526,12.52,376224
529,8.85,364930
524,8.80,363076
523,12.84,376956
527,11.31,372416
526,9.63,366334
524,10.40,368564
524,12.09,374390
526,11.34,372265
527,10.00,367897
524,10.12,367608
525,11.43,372131
525,10.83,370055
526,10.51,369225
525,10.29,368185
524,11.30,371679
526,10.86,370580
525,10.02,367255
524,10.85,370124
525,11.49,372343
526,10.74,370307
525,10.27,368247
524,10.99,370619
525,11.68,373154
526,9.99,367603
525,9.90,366849
524,10.78,369889
525,11.21,371537
526,10.19,368263
524,10.05,367377
525,11.17,371226
526,10.93,370682
526,10.17,368197
524,10.87,370180
524,11.46,372210
526,11.72,373419
526,9.51,366068
524,9.80,366528
524,11.25,371508
526,11.44,372469
526,9.74,366857
524,9.91,366905
524,11.94,373875
526,11.46,372678
527,10.05,368359
525,9.96,367064
522,11.74,373189
525,12.51,375890
527,9.78,367309
525,9.10,364197
523,11.27,371583
525,11.92,373835
527,10.15,368415
524,9.69,366145
523,12.13,374524
525,12.26,375137
527,10.81,370822
525,10.19,367847
523,11.69,373030
525,12.73,376785
528,9.55,366625
525,9.32,364849
523,11.04,370761
525,12.14,374567
525,10.89,370409
525,10.79,369901
524,11.34,371800
525,11.66,373071
526,10.84,370384
526,10.83,370336
524,10.74,369734
525,11.47,372267
525,10.45,368878
524,10.72,369684
520,11.96,373932
501,19.99,401580
480,41.13,492809
494,47.47,525222
519,51.08,543728
536,37.13,477774
533,40.55,493829
541,47.84,535188
555,42.83,516454
559,45.78,533666
556,50.99,559129
534,55.20,569063
504,78.83,644614
487,85.70,661079
461,86.65,663348
433,89.23,669541
403,89.33,669787
377,89.08,669192
343,89.08,669192
303,88.81,668536
273,83.44,655649
248,87.02,664255
269,46.67,521163
